0.0 0.0022614762858167016 233
10392.164981524566 -7.092904418794911e+17 6884306927322.574 3215099575.272255
41597.62183138531 1.4960357139318736e+16 -7029510759508.104 3148281133.811112
71506.01154974729 1.970869248038178e+16 -6930393827631.446 3016053585.751937
100144.69188229032 2.690326842282816e+16 -6808932978753.48 2887092022.578164
127549.70377319017 3.2208942937746136e+16 -6599308745045.745 2762521521.7916846
153770.24476289257 3.4790220026463532e+16 -6311745381432.234 2643519664.823372
178865.21478682253 3.5282696072525156e+16 -5978854674698.51 2530829439.0066366
202898.2341170582 3.4232607382245364e+16 -5626212051790.377 2424740406.1088057
225933.8236080811 3.249701440563082e+16 -5277108051124.386 2325200036.4386425
248034.58383539398 3.026881722416289e+16 -4940068383636.8125 2231945905.894085
269259.94152572186 2.7983384087145996e+16 -4624099863489.588 2144604607.1020901
289665.2487402405 2.5608939537775576e+16 -4329449607908.4497 2062750935.2023783
309301.67820818024 2.3447970119777464e+16 -4059917459572.559 1985945908.155975
328216.0605531972 2.132467653203147e+16 -3811725157112.992 1913762268.9820755
346451.2746716457 1.9486345521223504e+16 -3586907164554.222 1845796420.2826166
364046.3166297165 1.7654271201076712e+16 -3379992568321.274 1781675158.6902356
381036.8207695571 1.6101791038237124e+16 -3193573629534.9434 1721052715.0400622
397455.071150777 1.4495478028711268e+16 -3021700421935.882 1663610248.6397228
413330.5128394314 1.3128122320563514e+16 -2867737236004.0444 1609050186.5568438
428689.6534648306 1.1606261046311774e+16 -2725545860521.275 1557092395.4393148
443556.500196612 1.023956945336604e+16 -2599631591204.489 1507464697.6791816
457952.2772030908 8550632662901980.0 -2483854621267.321 1459894978.2312186
471895.70940736553 6786410671944892.0 -2383739603279.9585 1414095382.7635026
485402.4332031127 4291604956399556.0 -2293656981975.4917 1369740607.7413054
498484.85878184723 1015870429978131.1 -2220209090184.4863 1326429433.0484905
511150.83412713377 -4404900845208989.0 -2157735645648.9307 1283618247.0943956
523402.2169436119 -1.358423002566121e+16 -2111395489175.788 1240487798.7944064
535230.9520654901 -3.198180250457985e+16 -2064677635898.8396 1195662691.1319416
546612.1982468794 2.789434782166549e+17 -5392901828833.3 1146545052.3743608
557487.470920126 -1.0662028162540835e+17 1056743495729.7976 1120692346.1428294
568366.8691867789 -2.5544943321999184e+16 -765012699208.1498 1111073282.3572588
579055.4183866965 4102711247795678.5 -1300706910731.3596 1089003642.8626328
589506.4049249921 4446915836182245.0 -1264227195364.4902 1064914045.8949461
599727.331358581 4573015072847554.0 -1222289752123.9944 1041629863.3570937
609726.3296853403 4568659562508193.0 -1177862219826.7407 1019195400.0454341
619511.7624986343 4487657472401996.0 -1132733037146.596 997622124.7822977
629091.9844269818 4346596288145699.5 -1087807125234.0737 976901996.4867804
638475.2019717832 4185887352621796.0 -1044059640785.4625 957014095.7709547
647669.363678298 4001668422839593.0 -1001643796476.2946 937929994.4933012
656682.1242061419 3807160065100184.5 -960916095702.1908 919617198.8529196
665520.801336968 3595609713511925.5 -921910866916.6218 902040030.9869913
674192.3571583689 3386962410187474.0 -884987102845.3652 885160238.286304
682703.3668994773 3170536107265978.5 -850012947809.8466 868938236.1875197
691060.0242397205 2967566284689592.5 -817270013645.0355 853333980.790155
699268.1270834988 2759906685422385.0 -786451567127.0994 838307963.0386724
707333.1021678172 2568753443439964.0 -757808854493.0131 823821499.7415812
715259.9964861729 2371322433488162.5 -730960525979.5394 809837020.8839481
723053.5074734438 2196850300358195.0 -706251281168.4948 796317920.0313071
730717.971525844 2015319423163129.8 -683166935110.7356 783229162.1868024
738257.4059854227 1865626424636104.0 -662153526310.9403 770537210.2196431
745675.4962318619 1706439945924925.8 -642500880970.8446 758210861.3082218
752975.6539038535 1581178497811117.5 -624722557944.1544 746221017.5766112
